Nova-based SHA256 compression function iterations
=========================================================
Producing public parameters...
PublicParams::setup, took 3.920718336s 
Number of constraints per step (primary circuit): 37034
Number of constraints per step (secondary circuit): 10347
Number of variables per step (primary circuit): 37000
Number of variables per step (secondary circuit): 10329
Generating a RecursiveSNARK...
RecursiveSNARK::prove_step 0: true, took 730ns 
RecursiveSNARK::prove_step 1: true, took 69.85637ms 
RecursiveSNARK::prove_step 2: true, took 94.458555ms 
RecursiveSNARK::prove_step 3: true, took 102.064332ms 
RecursiveSNARK::prove_step 4: true, took 106.405221ms 
RecursiveSNARK::prove_step 5: true, took 111.798821ms 
RecursiveSNARK::prove_step 6: true, took 104.996105ms 
RecursiveSNARK::prove_step 7: true, took 109.638077ms 
RecursiveSNARK::prove_step 8: true, took 111.170161ms 
RecursiveSNARK::prove_step 9: true, took 105.395622ms 
RecursiveSNARK::prove_step 10: true, took 103.996498ms 
RecursiveSNARK::prove_step 11: true, took 106.388829ms 
RecursiveSNARK::prove_step 12: true, took 109.403909ms 
RecursiveSNARK::prove_step 13: true, took 110.700831ms 
RecursiveSNARK::prove_step 14: true, took 109.086228ms 
RecursiveSNARK::prove_step 15: true, took 108.356285ms 
RecursiveSNARK::prove_step 16: true, took 110.342475ms 
RecursiveSNARK::prove_step 17: true, took 112.217659ms 
RecursiveSNARK::prove_step 18: true, took 107.586312ms 
RecursiveSNARK::prove_step 19: true, took 110.466988ms 
RecursiveSNARK::prove_step 20: true, took 109.281103ms 
RecursiveSNARK::prove_step 21: true, took 108.923167ms 
RecursiveSNARK::prove_step 22: true, took 108.713404ms 
RecursiveSNARK::prove_step 23: true, took 110.599038ms 
RecursiveSNARK::prove_step 24: true, took 110.498474ms 
RecursiveSNARK::prove_step 25: true, took 107.00753ms 
RecursiveSNARK::prove_step 26: true, took 110.474357ms 
RecursiveSNARK::prove_step 27: true, took 111.506879ms 
RecursiveSNARK::prove_step 28: true, took 110.739586ms 
RecursiveSNARK::prove_step 29: true, took 104.86492ms 
RecursiveSNARK::prove_step 30: true, took 108.90973ms 
RecursiveSNARK::prove_step 31: true, took 114.84959ms 
RecursiveSNARK::prove_step 32: true, took 111.66247ms 
RecursiveSNARK::prove_step 33: true, took 108.50596ms 
RecursiveSNARK::prove_step 34: true, took 116.462259ms 
RecursiveSNARK::prove_step 35: true, took 115.144251ms 
RecursiveSNARK::prove_step 36: true, took 110.319783ms 
RecursiveSNARK::prove_step 37: true, took 112.586203ms 
RecursiveSNARK::prove_step 38: true, took 110.469706ms 
RecursiveSNARK::prove_step 39: true, took 110.791928ms 
RecursiveSNARK::prove_step 40: true, took 112.896146ms 
RecursiveSNARK::prove_step 41: true, took 109.474929ms 
RecursiveSNARK::prove_step 42: true, took 113.419599ms 
RecursiveSNARK::prove_step 43: true, took 123.690409ms 
RecursiveSNARK::prove_step 44: true, took 125.488304ms 
RecursiveSNARK::prove_step 45: true, took 109.460351ms 
RecursiveSNARK::prove_step 46: true, took 112.142222ms 
RecursiveSNARK::prove_step 47: true, took 109.224568ms 
RecursiveSNARK::prove_step 48: true, took 113.600181ms 
RecursiveSNARK::prove_step 49: true, took 113.052729ms 
RecursiveSNARK::prove_step 50: true, took 114.996861ms 
RecursiveSNARK::prove_step 51: true, took 108.753424ms 
RecursiveSNARK::prove_step 52: true, took 113.716295ms 
RecursiveSNARK::prove_step 53: true, took 111.008067ms 
RecursiveSNARK::prove_step 54: true, took 109.781327ms 
RecursiveSNARK::prove_step 55: true, took 110.423414ms 
RecursiveSNARK::prove_step 56: true, took 115.936321ms 
RecursiveSNARK::prove_step 57: true, took 112.659907ms 
RecursiveSNARK::prove_step 58: true, took 118.604708ms 
RecursiveSNARK::prove_step 59: true, took 122.418847ms 
RecursiveSNARK::prove_step 60: true, took 121.248657ms 
RecursiveSNARK::prove_step 61: true, took 113.040363ms 
RecursiveSNARK::prove_step 62: true, took 112.942807ms 
RecursiveSNARK::prove_step 63: true, took 113.33107ms 
RecursiveSNARK::prove_step 64: true, took 113.010184ms 
RecursiveSNARK::prove_step 65: true, took 111.509082ms 
RecursiveSNARK::prove_step 66: true, took 111.518855ms 
RecursiveSNARK::prove_step 67: true, took 111.14223ms 
RecursiveSNARK::prove_step 68: true, took 111.168694ms 
RecursiveSNARK::prove_step 69: true, took 113.692276ms 
RecursiveSNARK::prove_step 70: true, took 117.302609ms 
RecursiveSNARK::prove_step 71: true, took 111.965434ms 
RecursiveSNARK::prove_step 72: true, took 121.448653ms 
RecursiveSNARK::prove_step 73: true, took 107.767181ms 
RecursiveSNARK::prove_step 74: true, took 109.391747ms 
RecursiveSNARK::prove_step 75: true, took 111.562808ms 
RecursiveSNARK::prove_step 76: true, took 116.380772ms 
RecursiveSNARK::prove_step 77: true, took 115.665914ms 
RecursiveSNARK::prove_step 78: true, took 114.772811ms 
RecursiveSNARK::prove_step 79: true, took 118.961932ms 
RecursiveSNARK::prove_step 80: true, took 120.124298ms 
RecursiveSNARK::prove_step 81: true, took 120.995556ms 
RecursiveSNARK::prove_step 82: true, took 119.126409ms 
RecursiveSNARK::prove_step 83: true, took 121.629728ms 
RecursiveSNARK::prove_step 84: true, took 120.604401ms 
RecursiveSNARK::prove_step 85: true, took 122.811093ms 
RecursiveSNARK::prove_step 86: true, took 127.986571ms 
RecursiveSNARK::prove_step 87: true, took 117.789315ms 
RecursiveSNARK::prove_step 88: true, took 115.308382ms 
RecursiveSNARK::prove_step 89: true, took 112.60777ms 
RecursiveSNARK::prove_step 90: true, took 114.823754ms 
RecursiveSNARK::prove_step 91: true, took 113.569167ms 
RecursiveSNARK::prove_step 92: true, took 112.369716ms 
RecursiveSNARK::prove_step 93: true, took 116.113562ms 
RecursiveSNARK::prove_step 94: true, took 115.791623ms 
RecursiveSNARK::prove_step 95: true, took 112.35928ms 
RecursiveSNARK::prove_step 96: true, took 113.383677ms 
RecursiveSNARK::prove_step 97: true, took 115.020636ms 
RecursiveSNARK::prove_step 98: true, took 115.847385ms 
RecursiveSNARK::prove_step 99: true, took 112.873452ms 
RecursiveSNARK::prove_step 100: true, took 119.880645ms 
RecursiveSNARK::prove_step 101: true, took 113.82206ms 
RecursiveSNARK::prove_step 102: true, took 114.218266ms 
RecursiveSNARK::prove_step 103: true, took 112.680284ms 
RecursiveSNARK::prove_step 104: true, took 113.018308ms 
RecursiveSNARK::prove_step 105: true, took 108.778536ms 
RecursiveSNARK::prove_step 106: true, took 114.215015ms 
RecursiveSNARK::prove_step 107: true, took 114.27868ms 
RecursiveSNARK::prove_step 108: true, took 114.650675ms 
RecursiveSNARK::prove_step 109: true, took 115.898057ms 
RecursiveSNARK::prove_step 110: true, took 117.941548ms 
RecursiveSNARK::prove_step 111: true, took 112.825124ms 
RecursiveSNARK::prove_step 112: true, took 113.607573ms 
RecursiveSNARK::prove_step 113: true, took 116.156955ms 
RecursiveSNARK::prove_step 114: true, took 120.006866ms 
RecursiveSNARK::prove_step 115: true, took 109.68472ms 
RecursiveSNARK::prove_step 116: true, took 113.870527ms 
RecursiveSNARK::prove_step 117: true, took 112.802259ms 
RecursiveSNARK::prove_step 118: true, took 115.085666ms 
RecursiveSNARK::prove_step 119: true, took 115.535649ms 
RecursiveSNARK::prove_step 120: true, took 115.841262ms 
RecursiveSNARK::prove_step 121: true, took 117.629544ms 
RecursiveSNARK::prove_step 122: true, took 114.865453ms 
RecursiveSNARK::prove_step 123: true, took 113.967456ms 
RecursiveSNARK::prove_step 124: true, took 115.484994ms 
RecursiveSNARK::prove_step 125: true, took 117.55107ms 
RecursiveSNARK::prove_step 126: true, took 121.981791ms 
RecursiveSNARK::prove_step 127: true, took 120.693581ms 
RecursiveSNARK::prove_step 128: true, took 119.656503ms 
RecursiveSNARK::prove_step 129: true, took 113.474723ms 
RecursiveSNARK::prove_step 130: true, took 115.099966ms 
RecursiveSNARK::prove_step 131: true, took 114.184482ms 
RecursiveSNARK::prove_step 132: true, took 115.974225ms 
RecursiveSNARK::prove_step 133: true, took 114.594031ms 
RecursiveSNARK::prove_step 134: true, took 121.317866ms 
RecursiveSNARK::prove_step 135: true, took 122.885313ms 
RecursiveSNARK::prove_step 136: true, took 121.568158ms 
RecursiveSNARK::prove_step 137: true, took 118.545469ms 
RecursiveSNARK::prove_step 138: true, took 120.902468ms 
RecursiveSNARK::prove_step 139: true, took 118.151533ms 
RecursiveSNARK::prove_step 140: true, took 117.481465ms 
RecursiveSNARK::prove_step 141: true, took 120.926593ms 
RecursiveSNARK::prove_step 142: true, took 112.792378ms 
RecursiveSNARK::prove_step 143: true, took 113.042323ms 
RecursiveSNARK::prove_step 144: true, took 114.998471ms 
RecursiveSNARK::prove_step 145: true, took 119.702148ms 
RecursiveSNARK::prove_step 146: true, took 119.254904ms 
RecursiveSNARK::prove_step 147: true, took 115.602533ms 
RecursiveSNARK::prove_step 148: true, took 126.777473ms 
RecursiveSNARK::prove_step 149: true, took 119.50312ms 
RecursiveSNARK::prove_step 150: true, took 119.338993ms 
RecursiveSNARK::prove_step 151: true, took 124.445789ms 
RecursiveSNARK::prove_step 152: true, took 120.018811ms 
RecursiveSNARK::prove_step 153: true, took 114.744979ms 
RecursiveSNARK::prove_step 154: true, took 111.893801ms 
RecursiveSNARK::prove_step 155: true, took 118.534044ms 
RecursiveSNARK::prove_step 156: true, took 119.337052ms 
RecursiveSNARK::prove_step 157: true, took 116.705354ms 
RecursiveSNARK::prove_step 158: true, took 116.714442ms 
RecursiveSNARK::prove_step 159: true, took 116.939286ms 
RecursiveSNARK::prove_step 160: true, took 114.415612ms 
RecursiveSNARK::prove_step 161: true, took 116.107805ms 
RecursiveSNARK::prove_step 162: true, took 117.991182ms 
RecursiveSNARK::prove_step 163: true, took 119.915898ms 
RecursiveSNARK::prove_step 164: true, took 116.098344ms 
RecursiveSNARK::prove_step 165: true, took 122.05077ms 
RecursiveSNARK::prove_step 166: true, took 120.222604ms 
RecursiveSNARK::prove_step 167: true, took 120.719771ms 
RecursiveSNARK::prove_step 168: true, took 117.08237ms 
