Nova-based SHA256 compression function iterations
=========================================================
Producing public parameters...
PublicParams::setup, took 3.612032586s 
Number of constraints per step (primary circuit): 37034
Number of constraints per step (secondary circuit): 10347
Number of variables per step (primary circuit): 37000
Number of variables per step (secondary circuit): 10329
Generating a RecursiveSNARK...
RecursiveSNARK::prove_step 0: true, took 918ns 
RecursiveSNARK::prove_step 1: true, took 65.104528ms 
RecursiveSNARK::prove_step 2: true, took 84.499831ms 
RecursiveSNARK::prove_step 3: true, took 90.212306ms 
RecursiveSNARK::prove_step 4: true, took 95.195096ms 
RecursiveSNARK::prove_step 5: true, took 96.648136ms 
RecursiveSNARK::prove_step 6: true, took 98.448804ms 
RecursiveSNARK::prove_step 7: true, took 103.948178ms 
RecursiveSNARK::prove_step 8: true, took 101.18376ms 
RecursiveSNARK::prove_step 9: true, took 99.849886ms 
RecursiveSNARK::prove_step 10: true, took 100.058607ms 
RecursiveSNARK::prove_step 11: true, took 104.691616ms 
RecursiveSNARK::prove_step 12: true, took 101.366652ms 
RecursiveSNARK::prove_step 13: true, took 101.644309ms 
RecursiveSNARK::prove_step 14: true, took 110.154383ms 
RecursiveSNARK::prove_step 15: true, took 100.222506ms 
RecursiveSNARK::prove_step 16: true, took 102.964847ms 
RecursiveSNARK::prove_step 17: true, took 110.811581ms 
RecursiveSNARK::prove_step 18: true, took 103.713549ms 
RecursiveSNARK::prove_step 19: true, took 102.557074ms 
RecursiveSNARK::prove_step 20: true, took 111.222073ms 
RecursiveSNARK::prove_step 21: true, took 100.933555ms 
RecursiveSNARK::prove_step 22: true, took 104.087223ms 
RecursiveSNARK::prove_step 23: true, took 100.532394ms 
RecursiveSNARK::prove_step 24: true, took 103.120486ms 
RecursiveSNARK::prove_step 25: true, took 102.410621ms 
RecursiveSNARK::prove_step 26: true, took 104.657739ms 
RecursiveSNARK::prove_step 27: true, took 107.22476ms 
RecursiveSNARK::prove_step 28: true, took 102.910051ms 
RecursiveSNARK::prove_step 29: true, took 105.651702ms 
RecursiveSNARK::prove_step 30: true, took 103.711426ms 
RecursiveSNARK::prove_step 31: true, took 105.260925ms 
RecursiveSNARK::prove_step 32: true, took 103.746788ms 
RecursiveSNARK::prove_step 33: true, took 109.63312ms 
RecursiveSNARK::prove_step 34: true, took 106.967414ms 
RecursiveSNARK::prove_step 35: true, took 104.818231ms 
RecursiveSNARK::prove_step 36: true, took 109.436999ms 
RecursiveSNARK::prove_step 37: true, took 105.891587ms 
RecursiveSNARK::prove_step 38: true, took 104.169063ms 
RecursiveSNARK::prove_step 39: true, took 102.947575ms 
RecursiveSNARK::prove_step 40: true, took 107.979688ms 
RecursiveSNARK::prove_step 41: true, took 102.002477ms 
RecursiveSNARK::prove_step 42: true, took 104.66568ms 
RecursiveSNARK::prove_step 43: true, took 101.285517ms 
RecursiveSNARK::prove_step 44: true, took 106.42071ms 
RecursiveSNARK::prove_step 45: true, took 110.865404ms 
RecursiveSNARK::prove_step 46: true, took 106.811431ms 
RecursiveSNARK::prove_step 47: true, took 112.174178ms 
RecursiveSNARK::prove_step 48: true, took 105.789613ms 
RecursiveSNARK::prove_step 49: true, took 111.592705ms 
RecursiveSNARK::prove_step 50: true, took 109.287405ms 
RecursiveSNARK::prove_step 51: true, took 104.317272ms 
RecursiveSNARK::prove_step 52: true, took 102.787954ms 
RecursiveSNARK::prove_step 53: true, took 104.468969ms 
RecursiveSNARK::prove_step 54: true, took 113.679522ms 
RecursiveSNARK::prove_step 55: true, took 110.900651ms 
RecursiveSNARK::prove_step 56: true, took 106.286912ms 
RecursiveSNARK::prove_step 57: true, took 104.796385ms 
RecursiveSNARK::prove_step 58: true, took 112.102446ms 
RecursiveSNARK::prove_step 59: true, took 109.605597ms 
RecursiveSNARK::prove_step 60: true, took 109.484536ms 
RecursiveSNARK::prove_step 61: true, took 109.849061ms 
RecursiveSNARK::prove_step 62: true, took 107.352394ms 
RecursiveSNARK::prove_step 63: true, took 108.163286ms 
RecursiveSNARK::prove_step 64: true, took 111.141295ms 
RecursiveSNARK::prove_step 65: true, took 116.48032ms 
RecursiveSNARK::prove_step 66: true, took 108.006826ms 
RecursiveSNARK::prove_step 67: true, took 107.267297ms 
RecursiveSNARK::prove_step 68: true, took 100.108342ms 
RecursiveSNARK::prove_step 69: true, took 109.281337ms 
RecursiveSNARK::prove_step 70: true, took 111.700723ms 
RecursiveSNARK::prove_step 71: true, took 109.988435ms 
RecursiveSNARK::prove_step 72: true, took 110.408298ms 
RecursiveSNARK::prove_step 73: true, took 106.585242ms 
RecursiveSNARK::prove_step 74: true, took 109.892739ms 
RecursiveSNARK::prove_step 75: true, took 102.155728ms 
RecursiveSNARK::prove_step 76: true, took 105.573929ms 
RecursiveSNARK::prove_step 77: true, took 116.481329ms 
RecursiveSNARK::prove_step 78: true, took 116.35862ms 
RecursiveSNARK::prove_step 79: true, took 117.340556ms 
RecursiveSNARK::prove_step 80: true, took 110.367295ms 
RecursiveSNARK::prove_step 81: true, took 111.048683ms 
RecursiveSNARK::prove_step 82: true, took 119.064594ms 
RecursiveSNARK::prove_step 83: true, took 118.971644ms 
RecursiveSNARK::prove_step 84: true, took 107.661289ms 
RecursiveSNARK::prove_step 85: true, took 104.175403ms 
RecursiveSNARK::prove_step 86: true, took 107.714766ms 
RecursiveSNARK::prove_step 87: true, took 107.416543ms 
RecursiveSNARK::prove_step 88: true, took 108.187246ms 
RecursiveSNARK::prove_step 89: true, took 108.605421ms 
RecursiveSNARK::prove_step 90: true, took 108.801908ms 
RecursiveSNARK::prove_step 91: true, took 110.812886ms 
RecursiveSNARK::prove_step 92: true, took 115.921432ms 
RecursiveSNARK::prove_step 93: true, took 106.386929ms 
RecursiveSNARK::prove_step 94: true, took 112.64159ms 
RecursiveSNARK::prove_step 95: true, took 109.53413ms 
RecursiveSNARK::prove_step 96: true, took 114.465571ms 
RecursiveSNARK::prove_step 97: true, took 107.775159ms 
RecursiveSNARK::prove_step 98: true, took 109.244716ms 
RecursiveSNARK::prove_step 99: true, took 103.752068ms 
RecursiveSNARK::prove_step 100: true, took 105.495272ms 
RecursiveSNARK::prove_step 101: true, took 106.47457ms 
RecursiveSNARK::prove_step 102: true, took 113.088129ms 
RecursiveSNARK::prove_step 103: true, took 112.701963ms 
RecursiveSNARK::prove_step 104: true, took 109.533618ms 
RecursiveSNARK::prove_step 105: true, took 107.703877ms 
RecursiveSNARK::prove_step 106: true, took 110.92503ms 
RecursiveSNARK::prove_step 107: true, took 108.061352ms 
RecursiveSNARK::prove_step 108: true, took 111.624988ms 
RecursiveSNARK::prove_step 109: true, took 115.719443ms 
RecursiveSNARK::prove_step 110: true, took 112.894874ms 
RecursiveSNARK::prove_step 111: true, took 106.426849ms 
RecursiveSNARK::prove_step 112: true, took 107.744621ms 
RecursiveSNARK::prove_step 113: true, took 107.138127ms 
RecursiveSNARK::prove_step 114: true, took 107.24666ms 
RecursiveSNARK::prove_step 115: true, took 107.0378ms 
RecursiveSNARK::prove_step 116: true, took 109.465523ms 
RecursiveSNARK::prove_step 117: true, took 110.328737ms 
RecursiveSNARK::prove_step 118: true, took 118.713146ms 
RecursiveSNARK::prove_step 119: true, took 109.376694ms 
RecursiveSNARK::prove_step 120: true, took 111.838142ms 
RecursiveSNARK::prove_step 121: true, took 108.682373ms 
RecursiveSNARK::prove_step 122: true, took 117.134345ms 
RecursiveSNARK::prove_step 123: true, took 110.014264ms 
RecursiveSNARK::prove_step 124: true, took 106.076109ms 
RecursiveSNARK::prove_step 125: true, took 107.577628ms 
RecursiveSNARK::prove_step 126: true, took 113.396179ms 
RecursiveSNARK::prove_step 127: true, took 119.112984ms 
RecursiveSNARK::prove_step 128: true, took 108.965814ms 
RecursiveSNARK::prove_step 129: true, took 108.014922ms 
RecursiveSNARK::prove_step 130: true, took 111.266443ms 
RecursiveSNARK::prove_step 131: true, took 111.66303ms 
RecursiveSNARK::prove_step 132: true, took 110.881104ms 
RecursiveSNARK::prove_step 133: true, took 118.478686ms 
RecursiveSNARK::prove_step 134: true, took 115.806602ms 
RecursiveSNARK::prove_step 135: true, took 111.90807ms 
RecursiveSNARK::prove_step 136: true, took 105.280241ms 
RecursiveSNARK::prove_step 137: true, took 112.207873ms 
RecursiveSNARK::prove_step 138: true, took 113.487164ms 
RecursiveSNARK::prove_step 139: true, took 107.524123ms 
RecursiveSNARK::prove_step 140: true, took 111.759603ms 
RecursiveSNARK::prove_step 141: true, took 110.359145ms 
RecursiveSNARK::prove_step 142: true, took 106.42358ms 
RecursiveSNARK::prove_step 143: true, took 113.859639ms 
RecursiveSNARK::prove_step 144: true, took 110.181513ms 
RecursiveSNARK::prove_step 145: true, took 112.648807ms 
RecursiveSNARK::prove_step 146: true, took 114.081603ms 
RecursiveSNARK::prove_step 147: true, took 111.927992ms 
RecursiveSNARK::prove_step 148: true, took 112.285543ms 
RecursiveSNARK::prove_step 149: true, took 111.843114ms 
RecursiveSNARK::prove_step 150: true, took 109.795843ms 
RecursiveSNARK::prove_step 151: true, took 112.256608ms 
RecursiveSNARK::prove_step 152: true, took 113.813382ms 
RecursiveSNARK::prove_step 153: true, took 109.022384ms 
RecursiveSNARK::prove_step 154: true, took 115.561376ms 
RecursiveSNARK::prove_step 155: true, took 111.585529ms 
RecursiveSNARK::prove_step 156: true, took 108.879476ms 
RecursiveSNARK::prove_step 157: true, took 111.374751ms 
RecursiveSNARK::prove_step 158: true, took 112.311446ms 
RecursiveSNARK::prove_step 159: true, took 111.373172ms 
RecursiveSNARK::prove_step 160: true, took 112.560455ms 
RecursiveSNARK::prove_step 161: true, took 109.813572ms 
RecursiveSNARK::prove_step 162: true, took 105.524654ms 
RecursiveSNARK::prove_step 163: true, took 110.919233ms 
RecursiveSNARK::prove_step 164: true, took 111.440704ms 
RecursiveSNARK::prove_step 165: true, took 110.3215ms 
RecursiveSNARK::prove_step 166: true, took 111.322667ms 
RecursiveSNARK::prove_step 167: true, took 110.692759ms 
RecursiveSNARK::prove_step 168: true, took 111.682557ms 
