Nova-based SHA256 compression function iterations
=========================================================
Producing public parameters...
PublicParams::setup, took 3.87279403s 
Number of constraints per step (primary circuit): 37034
Number of constraints per step (secondary circuit): 10347
Number of variables per step (primary circuit): 37000
Number of variables per step (secondary circuit): 10329
Generating a RecursiveSNARK...
RecursiveSNARK::prove_step 0: true, took 702ns 
RecursiveSNARK::prove_step 1: true, took 70.179487ms 
RecursiveSNARK::prove_step 2: true, took 90.567628ms 
RecursiveSNARK::prove_step 3: true, took 97.852741ms 
RecursiveSNARK::prove_step 4: true, took 94.715969ms 
RecursiveSNARK::prove_step 5: true, took 105.137803ms 
RecursiveSNARK::prove_step 6: true, took 104.606377ms 
RecursiveSNARK::prove_step 7: true, took 104.610133ms 
RecursiveSNARK::prove_step 8: true, took 106.135ms 
RecursiveSNARK::prove_step 9: true, took 110.55719ms 
RecursiveSNARK::prove_step 10: true, took 108.709449ms 
RecursiveSNARK::prove_step 11: true, took 111.903976ms 
RecursiveSNARK::prove_step 12: true, took 105.496253ms 
RecursiveSNARK::prove_step 13: true, took 109.274193ms 
RecursiveSNARK::prove_step 14: true, took 105.810224ms 
RecursiveSNARK::prove_step 15: true, took 106.440309ms 
RecursiveSNARK::prove_step 16: true, took 111.632346ms 
RecursiveSNARK::prove_step 17: true, took 111.912227ms 
RecursiveSNARK::prove_step 18: true, took 106.05164ms 
RecursiveSNARK::prove_step 19: true, took 111.760924ms 
RecursiveSNARK::prove_step 20: true, took 109.435215ms 
RecursiveSNARK::prove_step 21: true, took 109.61984ms 
RecursiveSNARK::prove_step 22: true, took 109.481485ms 
RecursiveSNARK::prove_step 23: true, took 107.708443ms 
RecursiveSNARK::prove_step 24: true, took 106.857316ms 
RecursiveSNARK::prove_step 25: true, took 106.502873ms 
RecursiveSNARK::prove_step 26: true, took 107.354175ms 
RecursiveSNARK::prove_step 27: true, took 111.301137ms 
RecursiveSNARK::prove_step 28: true, took 109.807646ms 
RecursiveSNARK::prove_step 29: true, took 111.596429ms 
RecursiveSNARK::prove_step 30: true, took 110.497474ms 
RecursiveSNARK::prove_step 31: true, took 110.015631ms 
RecursiveSNARK::prove_step 32: true, took 110.825737ms 
RecursiveSNARK::prove_step 33: true, took 117.661518ms 
RecursiveSNARK::prove_step 34: true, took 112.460838ms 
RecursiveSNARK::prove_step 35: true, took 111.67431ms 
RecursiveSNARK::prove_step 36: true, took 118.749322ms 
RecursiveSNARK::prove_step 37: true, took 106.072869ms 
RecursiveSNARK::prove_step 38: true, took 111.934343ms 
RecursiveSNARK::prove_step 39: true, took 108.814867ms 
RecursiveSNARK::prove_step 40: true, took 110.479223ms 
RecursiveSNARK::prove_step 41: true, took 107.695583ms 
RecursiveSNARK::prove_step 42: true, took 111.212177ms 
RecursiveSNARK::prove_step 43: true, took 109.963866ms 
RecursiveSNARK::prove_step 44: true, took 112.416069ms 
RecursiveSNARK::prove_step 45: true, took 110.067176ms 
RecursiveSNARK::prove_step 46: true, took 106.245378ms 
RecursiveSNARK::prove_step 47: true, took 113.781836ms 
RecursiveSNARK::prove_step 48: true, took 114.953719ms 
RecursiveSNARK::prove_step 49: true, took 113.149778ms 
RecursiveSNARK::prove_step 50: true, took 114.584194ms 
RecursiveSNARK::prove_step 51: true, took 109.61074ms 
RecursiveSNARK::prove_step 52: true, took 108.662818ms 
RecursiveSNARK::prove_step 53: true, took 109.149539ms 
RecursiveSNARK::prove_step 54: true, took 112.231321ms 
RecursiveSNARK::prove_step 55: true, took 118.308526ms 
RecursiveSNARK::prove_step 56: true, took 116.458672ms 
RecursiveSNARK::prove_step 57: true, took 108.350423ms 
RecursiveSNARK::prove_step 58: true, took 115.970493ms 
RecursiveSNARK::prove_step 59: true, took 112.569432ms 
RecursiveSNARK::prove_step 60: true, took 114.571284ms 
RecursiveSNARK::prove_step 61: true, took 121.686741ms 
RecursiveSNARK::prove_step 62: true, took 110.183725ms 
RecursiveSNARK::prove_step 63: true, took 112.109601ms 
RecursiveSNARK::prove_step 64: true, took 113.991568ms 
RecursiveSNARK::prove_step 65: true, took 111.226162ms 
RecursiveSNARK::prove_step 66: true, took 115.085124ms 
RecursiveSNARK::prove_step 67: true, took 109.079107ms 
RecursiveSNARK::prove_step 68: true, took 119.61683ms 
RecursiveSNARK::prove_step 69: true, took 117.567572ms 
RecursiveSNARK::prove_step 70: true, took 111.35733ms 
RecursiveSNARK::prove_step 71: true, took 114.218347ms 
RecursiveSNARK::prove_step 72: true, took 113.701452ms 
RecursiveSNARK::prove_step 73: true, took 112.565295ms 
RecursiveSNARK::prove_step 74: true, took 114.380411ms 
RecursiveSNARK::prove_step 75: true, took 110.733341ms 
RecursiveSNARK::prove_step 76: true, took 111.797799ms 
RecursiveSNARK::prove_step 77: true, took 112.587473ms 
RecursiveSNARK::prove_step 78: true, took 113.875461ms 
RecursiveSNARK::prove_step 79: true, took 111.60165ms 
RecursiveSNARK::prove_step 80: true, took 113.161566ms 
RecursiveSNARK::prove_step 81: true, took 117.250713ms 
RecursiveSNARK::prove_step 82: true, took 111.178844ms 
RecursiveSNARK::prove_step 83: true, took 112.923294ms 
RecursiveSNARK::prove_step 84: true, took 111.701206ms 
RecursiveSNARK::prove_step 85: true, took 111.607021ms 
RecursiveSNARK::prove_step 86: true, took 116.199334ms 
RecursiveSNARK::prove_step 87: true, took 113.068082ms 
RecursiveSNARK::prove_step 88: true, took 112.61341ms 
RecursiveSNARK::prove_step 89: true, took 111.857867ms 
RecursiveSNARK::prove_step 90: true, took 117.367287ms 
RecursiveSNARK::prove_step 91: true, took 112.319399ms 
RecursiveSNARK::prove_step 92: true, took 114.097725ms 
RecursiveSNARK::prove_step 93: true, took 121.314091ms 
RecursiveSNARK::prove_step 94: true, took 115.990847ms 
RecursiveSNARK::prove_step 95: true, took 115.124312ms 
RecursiveSNARK::prove_step 96: true, took 118.076603ms 
RecursiveSNARK::prove_step 97: true, took 113.01225ms 
RecursiveSNARK::prove_step 98: true, took 112.367517ms 
RecursiveSNARK::prove_step 99: true, took 115.529882ms 
RecursiveSNARK::prove_step 100: true, took 119.919402ms 
RecursiveSNARK::prove_step 101: true, took 113.834738ms 
RecursiveSNARK::prove_step 102: true, took 120.048938ms 
RecursiveSNARK::prove_step 103: true, took 119.364827ms 
RecursiveSNARK::prove_step 104: true, took 116.705621ms 
RecursiveSNARK::prove_step 105: true, took 126.887405ms 
RecursiveSNARK::prove_step 106: true, took 118.046738ms 
RecursiveSNARK::prove_step 107: true, took 118.080812ms 
RecursiveSNARK::prove_step 108: true, took 112.645521ms 
RecursiveSNARK::prove_step 109: true, took 115.093555ms 
RecursiveSNARK::prove_step 110: true, took 111.952561ms 
RecursiveSNARK::prove_step 111: true, took 116.986617ms 
RecursiveSNARK::prove_step 112: true, took 119.069608ms 
RecursiveSNARK::prove_step 113: true, took 117.071745ms 
RecursiveSNARK::prove_step 114: true, took 121.531234ms 
RecursiveSNARK::prove_step 115: true, took 116.894245ms 
RecursiveSNARK::prove_step 116: true, took 112.070048ms 
RecursiveSNARK::prove_step 117: true, took 111.485903ms 
RecursiveSNARK::prove_step 118: true, took 112.493411ms 
RecursiveSNARK::prove_step 119: true, took 112.784849ms 
RecursiveSNARK::prove_step 120: true, took 115.750453ms 
RecursiveSNARK::prove_step 121: true, took 116.560079ms 
RecursiveSNARK::prove_step 122: true, took 113.774533ms 
RecursiveSNARK::prove_step 123: true, took 113.117827ms 
RecursiveSNARK::prove_step 124: true, took 113.870537ms 
RecursiveSNARK::prove_step 125: true, took 112.361607ms 
RecursiveSNARK::prove_step 126: true, took 118.190223ms 
RecursiveSNARK::prove_step 127: true, took 112.943807ms 
RecursiveSNARK::prove_step 128: true, took 118.158045ms 
RecursiveSNARK::prove_step 129: true, took 114.279044ms 
RecursiveSNARK::prove_step 130: true, took 113.320631ms 
RecursiveSNARK::prove_step 131: true, took 122.561399ms 
RecursiveSNARK::prove_step 132: true, took 112.736828ms 
RecursiveSNARK::prove_step 133: true, took 113.362817ms 
RecursiveSNARK::prove_step 134: true, took 117.599566ms 
RecursiveSNARK::prove_step 135: true, took 121.003973ms 
RecursiveSNARK::prove_step 136: true, took 117.596556ms 
RecursiveSNARK::prove_step 137: true, took 115.399704ms 
RecursiveSNARK::prove_step 138: true, took 112.452724ms 
RecursiveSNARK::prove_step 139: true, took 116.85509ms 
RecursiveSNARK::prove_step 140: true, took 120.936148ms 
RecursiveSNARK::prove_step 141: true, took 114.673778ms 
RecursiveSNARK::prove_step 142: true, took 118.224041ms 
RecursiveSNARK::prove_step 143: true, took 120.701312ms 
RecursiveSNARK::prove_step 144: true, took 119.28105ms 
RecursiveSNARK::prove_step 145: true, took 118.859793ms 
RecursiveSNARK::prove_step 146: true, took 120.677986ms 
RecursiveSNARK::prove_step 147: true, took 116.695435ms 
RecursiveSNARK::prove_step 148: true, took 117.082453ms 
RecursiveSNARK::prove_step 149: true, took 120.897283ms 
RecursiveSNARK::prove_step 150: true, took 120.162395ms 
RecursiveSNARK::prove_step 151: true, took 112.800784ms 
RecursiveSNARK::prove_step 152: true, took 115.986951ms 
RecursiveSNARK::prove_step 153: true, took 115.30442ms 
RecursiveSNARK::prove_step 154: true, took 113.752627ms 
RecursiveSNARK::prove_step 155: true, took 116.219684ms 
RecursiveSNARK::prove_step 156: true, took 115.774273ms 
RecursiveSNARK::prove_step 157: true, took 115.066291ms 
RecursiveSNARK::prove_step 158: true, took 115.606517ms 
RecursiveSNARK::prove_step 159: true, took 119.332374ms 
RecursiveSNARK::prove_step 160: true, took 113.272898ms 
RecursiveSNARK::prove_step 161: true, took 115.813484ms 
RecursiveSNARK::prove_step 162: true, took 115.342416ms 
RecursiveSNARK::prove_step 163: true, took 119.157637ms 
RecursiveSNARK::prove_step 164: true, took 117.794584ms 
RecursiveSNARK::prove_step 165: true, took 119.565812ms 
RecursiveSNARK::prove_step 166: true, took 125.372172ms 
RecursiveSNARK::prove_step 167: true, took 122.795801ms 
RecursiveSNARK::prove_step 168: true, took 119.764707ms 
